PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
488,0,0,0,-36.81,44.76,0,0,0,0
489,0,0,0,-37.53,45.45,0,0,0,0
490,0,0,0,-38.28,46.12,0,0,0,0
491,0,0,0,-39.04,46.77,0,0,0,0
492,0,0,0,-39.81,47.39,0,0,0,0
493,0,0,0,-40.62,47.98,0,0,0,0
494,0,0,0,-41.44,48.57,0,0,0,0
495,0,0,0,-42.27,49.11,0,0,0,0
496,0,0,0,-43.12,49.65,0,0,0,0
497,0,0,0,-43.98,50.16,0,0,0,0
498,0,0,0,-44.85,50.65,0,0,0,0
499,0,0,0,-45.73,51.13,0,0,0,0
500,0,0,0,-46.62,51.58,0,0,0,0
501,0,0,0,-47.52,52,0,0,0,0
502,0,0,0,-48.13,52.29,0,0,0,0
503,0,0,0,-62.98,58.5,0,0,0,0
504,0,0,0,-63.92,58.85,0,0,0,0
505,0,0,0,-64.87,59.14,0,0,0,0
506,0,0,0,-65.86,59.35,0,0,0,0
507,0,0,0,-66.85,59.46,0,0,0,0
508,0,0,0,-67.85,59.43,0,0,0,0
509,0,0,0,-68.82,59.26,0,0,0,0
510,0,0,0,-69.76,58.89,0,0,0,0
511,0,0,0,-70.59,58.35,0,0,0,0
512,0,0,0,-71.3,57.64,0,0,0,0
513,0,0,0,-71.87,56.82,0,0,0,0
514,0,0,0,-72.32,55.92,0,0,0,0
515,0,0,0,-72.56,55.32,0,0,0,0
516,0,0,0,-25.65,46.81,0,0,0,0
517,0,0,0,-26.5,47.34,0,0,0,0
518,0,0,0,-27.34,47.88,0,0,0,0
519,0,0,0,-28.18,48.42,0,0,0,0
520,0,0,0,-29.03,48.95,0,0,0,0
521,0,0,0,-29.87,49.5,0,0,0,0
522,0,0,0,-30.71,50.03,0,0,0,0
523,0,0,0,-31.56,50.56,0,0,0,0
